CPF,EMAIL,EMPRESA,ESTADO,SALARIO
735.743.542-31,pedrohenrique@hotmail.com,Facebook,AL,"R$ 12.776,00"
504.750.533-20,isabelly@email.com.br,Brasil Ent.,AP,"R$ 24.736,00"
220.471.448-84,pietro@empresa.com.br,Plastic Co.,AM,"R$ 9.817,00"
968.174.442-09,sarah@outlook.com,Raro Efeito,AM,"R$ 28.123,00"
549.657.204-58,caua@empresa.com.br,Spotify,PA,"R$ 32.847,00"
123.280.571-87,anajulia@email.com.br,Governo Federal,RS,"R$ 41.053,00"
827.321.680-25,isaac@gmail.com,Uber,AC,"R$ 31.692,00"
265.571.536-50,leticia@uol.com.br,Google,RR,"R$ 40.278,00"
829.461.455-65,caio@yahoo.com,Enum G.,AP,"R$ 28.805,00"
265.340.809-07,analuiza@uol.com.br,GGTT,SE,"R$ 20.976,00"
538.737.132-41,vinicius@uol.com.br,GGTT,MG,"R$ 27.838,00"
439.857.495-66,melissa@email.com.br,CCEE,RS,"R$ 15.371,00"
355.299.457-24,benjamin@yahoo.com,Facebook,PB,"R$ 1.933,00"
852.418.284-94,marina@hotmail.com,Google,PR,"R$ 10.507,00"
484.661.937-07,joao@email.com.br,Raro Efeito,TO,"R$ 2.051,00"
576.219.700-06,clara@yahoo.com,A&B,BA,"R$ 7.931,00"
983.528.605-18,lucca@hotmail.com,Enum G.,MT,"R$ 25.886,00"
712.249.332-65,cecilia@uol.com.br,A&B,PE,"R$ 7.858,00"
655.989.022-81,joaomiguel@hotmail.com,Governo Federal,AL,"R$ 43.329,00"
718.458.188-14,esther@yahoo.com,AirBnB,MA,"R$ 32.911,00"
566.769.311-92,bryan@yahoo.com,Spotify,AC,"R$ 1.652,00"
496.859.690-19,emanuelly@empresa.com.br,CCEE,CE,"R$ 3.526,00"
428.302.239-00,joaquim@email.com.br,UMAL,RS,"R$ 34.922,00"
889.703.268-04,rebeca@gmail.com,UMAL,RR,"R$ 28.063,00"
902.006.164-04,joaovitor@yahoo.com,Spotify,SP,"R$ 11.087,00"
702.444.370-76,anabeatriz@uol.com.br,Brasil Ent.,SC,"R$ 27.161,00"
307.327.888-54,thiago@uol.com.br,Uber,AM,"R$ 32.219,00"
269.800.740-08,lavinia@hotmail.com,Raro Efeito,AL,"R$ 24.345,00"
911.576.944-54,antonio@uol.com.br,Clothing,SC,"R$ 37.218,00"
802.046.115-98,vitoria@email.com.br,CCEE,RJ,"R$ 42.057,00"
302.020.023-73,davilucas@hotmail.com,Clothing,AL,"R$ 16.988,00"
859.458.442-33,bianca@hotmail.com,Netflix,MA,"R$ 9.795,00"
368.866.095-13,francisco@empresa.com.br,Plastic Co.,SE,"R$ 30.649,00"
270.987.843-70,catarina@uol.com.br,Raro Efeito,TO,"R$ 19.294,00"
116.899.646-50,enzogabriel@outlook.com,Enum G.,ES,"R$ 12.194,00"
542.965.960-63,larissa@uol.com.br,Clothing,MG,"R$ 19.175,00"
817.192.522-70,bruno@empresa.com.br,AirBnB,RS,"R$ 10.518,00"
103.439.122-44,mariafernanda@email.com.br,Plastic Co.,DF,"R$ 43.644,00"
566.430.529-04,emanuel@email.com.br,Governo Federal,DF,"R$ 2.428,00"
320.389.335-53,fernanda@gmail.com,Uber,SC,"R$ 39.813,00"
415.707.723-71,joaogabriel@hotmail.com,Google,SE,"R$ 38.100,00"
687.160.725-02,amanda@outlook.com,CCEE,RN,"R$ 26.582,00"
662.326.127-36,ian@outlook.com,CCEE,ES,"R$ 14.594,00"
174.282.537-05,alicia@hotmail.com,Google,BA,"R$ 44.016,00"
